,epoch,train_loss,val_loss
0,1,13546.772435188293,2918.9718084335327
1,2,11519.23562014103,2727.005333662033
2,3,10880.135379314423,2634.62584900856
3,4,10493.077402591705,2578.754958629608
4,5,10215.822201251984,2541.409332871437
5,6,9997.664950847626,2511.076498389244
6,7,9806.956998109818,2488.894693851471
7,8,9651.326100707054,2471.4116520881653
8,9,9514.868215680122,2457.398322224617
9,10,9396.824368953705,2448.7840913534164
10,11,9286.822652935982,2439.9015122652054
11,12,9192.010358691216,2434.5475949048996
12,13,9108.88002884388,2427.525162100792
13,14,9024.978130817413,2421.761702656746
14,15,8945.795986771584,2419.9758129119873
15,16,8878.126424908638,2418.045268535614
16,17,8816.215330719948,2417.140904903412
17,18,8753.319371819496,2415.471710085869
18,19,8691.842936992645,2415.6624459028244
19,20,8641.314599394798,2416.537308216095
20,21,8586.364785432816,2416.3858634233475
21,22,8535.17412674427,2416.58271420002
